route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
439,STM,439,Express Pie-IX,3,http://www.stm.info/bus/geomet/geo439.htm,,
440,STM,440,Express Charleroi,3,http://www.stm.info/bus/geomet/geo440.htm,,
444,STM,444,Express Cégep Marie-Victorin,3,http://www.stm.info/bus/geomet/geo444.htm,,
448,STM,448,Express Maurice-Duplessis,3,http://www.stm.info/bus/geomet/geo448.htm,,
449,STM,449,Express Rivière-des-Prairies,3,http://www.stm.info/bus/geomet/geo449.htm,,
460,STM,460,Express Métropolitaine,3,http://www.stm.info/bus/geomet/geo460.htm,,
467,STM,467,Express Saint-Michel,3,http://www.stm.info/bus/geomet/geo467.htm,,
468,STM,468,Express Pierrefonds/Gouin,3,http://www.stm.info/bus/geomet/geo468.htm,,
469,STM,469,Express Henri-Bourassa,3,http://www.stm.info/bus/geomet/geo469.htm,,
470,STM,470,Express Pierrefonds,3,http://www.stm.info/bus/geomet/geo470.htm,,
475,STM,475,Express Dollard-des-Ormeaux,3,http://www.stm.info/bus/geomet/geo475.htm,,
485,STM,485,Express Antoine-Faucon,3,http://www.stm.info/bus/geomet/geo485.htm,,
486,STM,486,Express Sherbrooke,3,http://www.stm.info/bus/geomet/geo486.htm,,
487,STM,487,Express Bout-de-l'Île,3,http://www.stm.info/bus/geomet/geo487.htm,,
491,STM,491,Express Lachine,3,http://www.stm.info/bus/geomet/geo491.htm,,
495,STM,495,Express Lachine/Lasalle,3,http://www.stm.info/bus/geomet/geo495.htm,,
496,STM,496,Express Victoria,3,http://www.stm.info/bus/geomet/geo496.htm,,
715,STM,715,Vieux Montréal/ Vieux-Port,3,http://www.stm.info/bus/geomet/geo715.htm,,
747,STM,747,Aéroport P-E-Trudeau/Centre-Ville,3,http://www.stm.info/bus/geomet/geo747.htm,,
767,STM,767,La Ronde / La Plage,3,http://www.stm.info/bus/geomet/geo767.htm,,
769,STM,769,La Ronde,3,http://www.stm.info/bus/geomet/geo769.htm,,
777,STM,777,Casino,3,http://www.stm.info/bus/geomet/geo777.htm,,
935,STM,935,Trainbus Blainville-Centre-Ville,3,http://www.stm.info/bus/geomet/geo935.htm,,
