stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
136721,54274,Primat-Paré / Ferdinand-Bastien,45.660170,-73.553830,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=54274
136733,54277,Primat-Paré / Marcel-Raymond,45.662740,-73.555370,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=54277
106552,50891,Jarry / de l'Esplanade,45.536082,-73.633153,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50891
106553,50892,de l'Esplanade / Jarry,45.536481,-73.635399,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50892
106564,50895,Côte-Saint-Luc / Draper,45.477220,-73.635042,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50895
106571,50896,Champagneur / Ball,45.529378,-73.633002,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50896
106604,50902,Van Horne / Légaré,45.498254,-73.634018,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50902
106611,50903,Côte-des-Neiges / Carlton,45.501632,-73.633694,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50903
106653,50912,Grand Boulevard / Somerled,45.471770,-73.634781,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50912
103184,50286,Henri-Bourassa / Meunier,45.546664,-73.672883,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50286
103204,50288,Henri-Bourassa / Waverly,45.547966,-73.672053,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50288
103261,50294,Saint-Laurent / Henri-Bourassa,45.550367,-73.670596,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50294
103262,50295,Henri-Bourassa / Saint-Laurent,45.550565,-73.671028,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50295
103265,50297,Henri-Bourassa / Saint-Laurent,45.550611,-73.670550,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50297
103284,50300,Henri-Bourassa / Laverdure,45.551862,-73.669880,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50300
136393,54252,du Tricentenaire / April,45.653138,-73.514094,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=54252
136489,59237,Armand-Chaput / No 11400,45.657669,-73.529638,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=59237
136500,59238,Armand-Chaput / No 11400,45.658020,-73.530154,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=59238
1500081,60639,Marien / ,45.642986,-73.534306,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=60639
1500943,54496,Marien / Ontario,45.635016,-73.512019,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=54496
1500953,54497,Broadway / des Vétérans,45.633040,-73.511450,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=54497
1500963,54498,Broadway / Dorchester,45.631538,-73.504234,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=54498
1905514,55818,Bessette / Sabourin,45.493936,-73.751437,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=55818
1908222,55941,Muir / Tassé,45.525816,-73.679053,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=55941
1908231,55942,Authier / Bourdon,45.498642,-73.676754,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=55942
2801934,56883,Centrale / 66e Avenue,45.416823,-73.625776,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=56883
2802043,56898,Latour / Beyries,45.419150,-73.623177,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=56898
