shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
12M-54-01-O,45.52984,-73.655325,37
12M-140-01-E,45.566592,-73.654219,15
12M-41-01-E,45.566592,-73.654219,13
12M-146-SW-O,45.560213,-73.654511,8
12M-146-JO-O,45.560213,-73.654511,6
12M-380-01-O,45.578217,-73.653641,48
12M-69-01-O,45.578217,-73.653641,35
12M-378-01-O,45.554644,-73.654112,19
12M-121-01-O,45.554644,-73.654112,19
12M-359-01-N,45.568201,-73.653226,40
12M-45-01-N,45.568201,-73.653226,40
12M-359-01-S,45.568048,-73.653698,6
12M-45-01-S,45.568048,-73.653698,6
12M-369-01-N,45.496616,-73.654943,40
12M-365-01-N,45.532711,-73.654367,44
12M-179-01-N,45.532711,-73.654367,21
12M-378-01-E,45.556474,-73.652844,82
12M-121-01-E,45.556474,-73.652844,38
12M-54-01-O,45.52923,-73.653153,38
12M-378-01-E,45.557824,-73.651993,83
12M-121-01-E,45.557824,-73.651993,39
12M-140-01-E,45.571031,-73.651276,18
12M-361-01-S,45.549575,-73.651801,9
12M-31-01-S,45.549575,-73.651801,10
12M-378-01-O,45.559472,-73.651213,16
12M-121-01-O,45.559472,-73.651213,16
12M-371-01-N,45.49491,-73.65283,41
12M-17-01-N,45.49491,-73.65283,32
12M-363-01-S,45.544411,-73.651379,12
12M-55-JO-S,45.544411,-73.651379,2
12M-54-HE-E,45.544411,-73.651379,11
12M-54-01-E,45.544411,-73.651379,26
12M-53-01-S,45.544411,-73.651379,12
12M-140-01-O,45.572657,-73.650024,31
12M-102-01-E,45.461231,-73.652848,4
12M-378-01-E,45.561278,-73.649962,85
12M-121-01-E,45.561278,-73.649962,41
12M-56-01-N,45.553244,-73.649153,3
12M-30-01-N,45.553244,-73.649153,41
12M-378-01-O,45.563946,-73.648652,14
12M-121-01-O,45.563946,-73.648652,14
12M-166-PM-S,45.489036,-73.650861,1
12M-166-PM-N,45.489036,-73.650861,39
12M-166-L2-S,45.489036,-73.650861,1
12M-166-L2-N,45.489036,-73.650861,53
12M-166-JO-S,45.489036,-73.650861,1
12M-166-JO-N,45.489036,-73.650861,34
12M-124-01-N,45.500699,-73.650354,34
12M-124-01-S,45.500718,-73.650678,15
12M-361-01-S,45.548695,-73.648706,10
12M-31-01-S,45.548695,-73.648706,11
12M-435-JO-O,45.52789,-73.61524,15
12M-365-01-S,45.52789,-73.61524,45
12M-80-01-S,45.52789,-73.61524,15
12M-378-01-E,45.565473,-73.647588,87
12M-121-01-E,45.565473,-73.647588,43
12M-53-01-N,45.543708,-73.647939,7
12M-378-01-E,45.566927,-73.646743,88
12M-121-01-E,45.566927,-73.646743,44
12M-41-01-E,45.566927,-73.646743,17
12M-146-SW-O,45.557886,-73.646805,10
12M-146-JO-O,45.557886,-73.646805,8
12M-51-JO-O,45.460473,-73.649085,56
12M-100-JO-E,45.532591,-73.647003,38
12M-124-01-S,45.498988,-73.648325,18
12M-368-01-O,45.498537,-73.648506,71
12M-146-SW-E,45.546053,-73.646338,16
12M-146-JO-E,45.546053,-73.646338,16
12M-53-01-S,45.546053,-73.646338,15
12M-51-JO-O,45.461289,-73.648441,55
12M-166-PM-N,45.488334,-73.647373,37
12M-166-L2-N,45.488334,-73.647373,51
12M-166-JO-N,45.488334,-73.647373,32
12M-361-01-S,45.547804,-73.645614,11
12M-31-01-S,45.547804,-73.645614,12
12M-420-AM-E,45.47137,-73.648037,5
12M-103-JO-E,45.47137,-73.648037,8
12M-66-PM-S,45.47137,-73.648037,2
12M-66-JO-S,45.47137,-73.648037,2
12M-160-01-E,45.489098,-73.64735,3
12M-440-AM-E,45.564507,-73.644359,5
12M-359-01-N,45.564507,-73.644359,37
12M-54-HE-E,45.564507,-73.644359,38
12M-54-01-E,45.564507,-73.644359,46
12M-45-01-N,45.564507,-73.644359,37
12M-440-PM-O,45.56491,-73.644706,17
12M-54-01-O,45.56491,-73.644706,7
12M-359-01-S,45.564513,-73.645092,9
12M-45-01-S,45.564513,-73.645092,9
12M-363-01-N,45.542674,-73.644695,40
12M-146-SW-O,45.542674,-73.644695,21
12M-146-LC-O,45.542674,-73.644695,4
12M-146-JO-O,45.542674,-73.644695,19
12M-55-JO-N,45.542674,-73.644695,36
12M-54-01-O,45.542674,-73.644695,23
12M-19-01-O,45.542674,-73.644695,4
12M-100-JO-O,45.537556,-73.644716,7
12M-160-01-E,45.491429,-73.644851,5
12M-365-01-S,45.529379,-73.644215,32
12M-179-01-S,45.529379,-73.644215,21
12M-54-01-O,45.571571,-73.642339,4
12M-66-PM-N,45.470894,-73.645463,39
12M-66-JO-N,45.470894,-73.645463,36
12M-138-01-E,45.470682,-73.645696,19
12M-104-01-E,45.470682,-73.645696,20
12M-370-01-E,45.486049,-73.645192,20
12M-161-01-E,45.486049,-73.645192,19
12M-56-01-S,45.551429,-73.64351,10
12M-30-01-S,45.551429,-73.64351,10
12M-102-01-O,45.458779,-73.645429,27
12M-368-01-O,45.497365,-73.644055,70
12M-124-01-N,45.497365,-73.644055,31
12M-370-01-O,45.487092,-73.644484,77
12M-161-01-O,45.487092,-73.644484,35
12M-51-JO-O,45.465479,-73.645,52
12M-135-AM-S,45.541427,-73.641405,24
12M-100-JO-E,45.541427,-73.641405,41
12M-52-AM-E,45.541427,-73.641405,7
12M-54-01-O,45.573198,-73.641676,3
12M-363-01-N,45.542432,-73.641276,39
12M-55-JO-N,45.542432,-73.641276,35
12M-18-JO-E,45.594049,-73.54257,58
12M-372-SO-E,45.513617,-73.632229,13
12M-372-LC-E,45.513617,-73.632229,13
12M-92-JO-E,45.513617,-73.632229,18
12M-353-01-E,45.563731,-73.549057,26
12M-136-01-N,45.563731,-73.549057,3
12M-368-01-O,45.508718,-73.614107,47
12M-119-01-S,45.508718,-73.614107,42
12M-51-JO-O,45.508718,-73.614107,21
12M-487-PM-O,45.651832,-73.517501,16
12M-86-SO-O,45.651832,-73.517501,62
12M-86-01-O,45.651832,-73.517501,62
12M-468-01-E,45.523819,-73.73644,49
12M-382-01-E,45.523819,-73.73644,76
12M-68-SO-E,45.523819,-73.73644,57
12M-68-AC-E,45.523819,-73.73644,86
12M-68-AB-E,45.523819,-73.73644,75
12M-170-JO-N,45.523655,-73.736107,29
12M-170-AC-S,45.523655,-73.736107,14
12M-170-JO-N,45.524882,-73.734299,28
12M-170-AC-S,45.524882,-73.734299,13
12M-468-01-E,45.524863,-73.734622,50
12M-382-01-E,45.524863,-73.734622,77
12M-68-SO-E,45.524863,-73.734622,58
12M-68-AC-E,45.524863,-73.734622,87
12M-68-AB-E,45.524863,-73.734622,76
12M-468-01-E,45.52638,-73.730488,52
12M-382-01-E,45.52638,-73.730488,79
12M-68-SO-E,45.52638,-73.730488,60
12M-68-AC-E,45.52638,-73.730488,89
12M-68-AB-E,45.52638,-73.730488,78
12M-468-01-E,45.52748,-73.729149,53
12M-382-01-E,45.52748,-73.729149,80
12M-68-SO-E,45.52748,-73.729149,61
12M-68-AC-E,45.52748,-73.729149,90
12M-68-AB-E,45.52748,-73.729149,79
12M-468-01-E,45.528569,-73.725769,54
12M-382-01-E,45.528569,-73.725769,81
12M-68-SO-E,45.528569,-73.725769,62
12M-68-AC-E,45.528569,-73.725769,91
12M-68-AB-E,45.528569,-73.725769,80
12M-69-01-O,45.531615,-73.718865,76
12M-69-01-E,45.531615,-73.718865,1
12M-365-01-N,45.527758,-73.719433,72
12M-180-JO-O,45.527758,-73.719433,32
12M-468-01-E,45.530525,-73.717956,59
12M-68-SO-E,45.530525,-73.717956,67
12M-68-AC-E,45.530525,-73.717956,96
12M-68-AB-E,45.530525,-73.717956,85
12M-64-01-S,45.530525,-73.717956,5
12M-69-01-O,45.533442,-73.717611,74
12M-365-01-N,45.526623,-73.716596,71
12M-180-JO-O,45.526623,-73.716596,31
12M-117-01-N,45.535483,-73.714612,26
12M-69-01-O,45.535511,-73.715087,72
12M-365-01-N,45.527801,-73.712962,68
12M-180-JO-O,45.527801,-73.712962,28
12M-365-01-S,45.527487,-73.712907,5
12M-180-JO-E,45.527487,-73.712907,5
12M-69-01-O,45.538529,-73.710534,69
12M-382-01-O,45.525648,-73.70966,31
12M-64-01-N,45.525648,-73.70966,17
12M-170-AC-S,45.525466,-73.709929,29
12M-164-01-E,45.525466,-73.709929,31
12M-164-01-O,45.525415,-73.710273,27
12M-382-01-O,45.524575,-73.707951,30
12M-64-01-N,45.524575,-73.707951,16
12M-382-01-E,45.524674,-73.708443,90
12M-170-AC-S,45.524674,-73.708443,30
12M-64-01-S,45.524674,-73.708443,10
12M-69-01-O,45.54173,-73.706446,67
12M-164-01-E,45.524845,-73.70604,33
12M-365-01-S,45.533851,-73.704885,9
12M-180-JO-E,45.533851,-73.704885,9
12M-164-01-O,45.527629,-73.702028,23
12M-363-01-S,45.541476,-73.64197,15
12M-55-JO-S,45.541476,-73.64197,5
12M-361-01-S,45.547006,-73.642584,12
12M-146-SW-E,45.547006,-73.642584,18
12M-146-JO-E,45.547006,-73.642584,18
12M-53-01-S,45.547006,-73.642584,17
12M-31-01-S,45.547006,-73.642584,13
12M-102-01-E,45.459587,-73.644565,7
12M-160-01-O,45.494521,-73.642956,36
12M-54-01-O,45.574589,-73.640485,2
12M-51-JO-O,45.467632,-73.643304,51
12M-160-01-E,45.493821,-73.642001,7
12M-365-01-N,45.528626,-73.640759,37
12M-179-01-N,45.528626,-73.640759,16
12M-370-01-E,45.489205,-73.642337,22
12M-161-01-E,45.489205,-73.642337,21
12M-54-01-O,45.570616,-73.6401,5
12M-146-SW-E,45.550333,-73.640255,23
12M-146-JO-E,45.550333,-73.640255,23
12M-56-01-S,45.550333,-73.640255,18
12M-146-SW-O,45.556129,-73.640607,12
12M-146-JO-O,45.556129,-73.640607,10
12M-160-01-O,45.4962,-73.641452,35
12M-162-01-O,45.454064,-73.642352,18
12M-166-PM-N,45.485551,-73.641148,35
12M-166-L2-N,45.485551,-73.641148,49
12M-166-JO-N,45.485551,-73.641148,30
12M-129-SO-N,45.485551,-73.641148,53
12M-129-JO-S,45.485551,-73.641148,3
12M-102-01-E,45.463165,-73.641814,9
12M-467-JO-N,45.576832,-73.638244,16
12M-357-01-N,45.576832,-73.638244,40
12M-67-JO-N,45.576832,-73.638244,34
12M-368-01-O,45.495667,-73.640343,68
12M-124-01-N,45.495667,-73.640343,29
12M-160-01-E,45.495468,-73.640563,8
12M-370-01-O,45.491437,-73.640444,74
12M-161-01-O,45.491437,-73.640444,32
12M-52-PM-O,45.538982,-73.638643,6
12M-160-01-O,45.49824,-73.639647,34
12M-54-01-O,45.54536,-73.6394,20
12M-356-SO-O,45.454731,-73.640556,65
12M-51-JO-O,45.471917,-73.640029,49
12M-51-JO-O,45.456595,-73.640478,59
12M-361-01-S,45.545628,-73.639576,13
12M-31-01-S,45.545628,-73.639576,14
12M-135-AM-S,45.545763,-73.638021,26
12M-100-JO-E,45.545763,-73.638021,45
12M-54-HE-E,45.545763,-73.638021,21
12M-54-01-E,45.545763,-73.638021,32
12M-19-01-E,45.545763,-73.638021,14
12M-66-PM-N,45.477186,-73.639088,34
12M-66-JO-N,45.477186,-73.639088,31
12M-179-01-S,45.527906,-73.637575,23
12M-363-01-S,45.541454,-73.640424,16
12M-55-JO-S,45.541454,-73.640424,6
12M-354-01-E,45.450119,-73.78019,47
12M-435-JO-O,45.503661,-73.638053,69
12M-369-01-N,45.503661,-73.638053,30
12M-165-JO-N,45.503661,-73.638053,24
12M-160-01-E,45.497529,-73.638728,9
12M-51-JO-O,45.47391,-73.639111,48
12M-356-SO-O,45.454209,-73.639412,66
12M-123-01-S,45.454209,-73.639412,2
12M-160-01-O,45.500221,-73.637852,33
12M-179-01-S,45.529077,-73.636906,24
12M-357-01-N,45.575493,-73.635016,38
12M-67-JO-N,45.575493,-73.635016,32
12M-52-PM-O,45.542579,-73.636557,4
12M-52-AM-O,45.542579,-73.636557,4
12M-368-01-O,45.494345,-73.637435,67
12M-124-01-N,45.494345,-73.637435,28
12M-370-01-E,45.494197,-73.637623,26
12M-161-01-E,45.494197,-73.637623,25
12M-372-SO-O,45.508353,-73.637318,100
12M-92-JO-O,45.508353,-73.637318,20
12M-51-JO-O,45.475209,-73.637943,47
12M-435-JO-E,45.530291,-73.636097,85
12M-179-01-N,45.530291,-73.636097,13
12M-80-01-N,45.530291,-73.636097,30
12M-179-01-S,45.530711,-73.635962,25
12M-193-01-O,45.531528,-73.635705,49
12M-90-01-O,45.453476,-73.637257,34
12M-90-01-E,45.453213,-73.637535,33
12M-54-01-O,45.554581,-73.635119,13
12M-30-01-N,45.548929,-73.634147,36
12M-30-01-S,45.548788,-73.634266,13
12M-435-JO-E,45.50243,-73.635982,11
12M-369-01-S,45.50243,-73.635982,9
12M-165-JO-S,45.50243,-73.635982,12
12M-363-01-S,45.539774,-73.634726,17
12M-55-JO-S,45.539774,-73.634726,7
12M-365-01-S,45.526666,-73.634849,35
12M-359-01-S,45.559646,-73.633959,12
12M-54-01-O,45.559646,-73.633959,10
12M-45-01-S,45.559646,-73.633959,12
12M-54-HE-E,45.559358,-73.633789,35
12M-54-01-E,45.559358,-73.633789,43
12M-102-01-O,45.470608,-73.635717,19
12M-160-01-E,45.505751,-73.634224,14
12M-138-01-E,45.466723,-73.635462,22
12M-104-01-E,45.466723,-73.635462,23
12M-193-01-E,45.535752,-73.632988,8
12M-356-SO-O,45.460741,-73.634944,60
12M-105-01-O,45.460741,-73.634944,15
12M-370-01-O,45.498494,-73.63402,70
12M-161-01-O,45.498494,-73.63402,28
12M-435-JO-E,45.501794,-73.634467,12
12M-369-01-S,45.501794,-73.634467,10
12M-165-JO-S,45.501794,-73.634467,13
12M-30-01-N,45.548333,-73.632167,35
12M-103-JO-O,45.471744,-73.634349,11
12M-103-AC-O,45.471744,-73.634349,11
12M-102-01-O,45.471914,-73.63454,18
12M-102-01-E,45.471526,-73.634626,15
12M-90-01-O,45.454415,-73.634156,33
12M-368-01-O,45.492336,-73.632869,65
12M-124-01-N,45.492336,-73.632869,26
12M-160-01-E,45.507316,-73.632779,15
12M-467-JO-S,45.572947,-73.630659,7
12M-357-01-S,45.572947,-73.630659,10
12M-67-JO-S,45.572947,-73.630659,12
12M-41-01-E,45.572947,-73.630659,26
12M-363-01-S,45.539008,-73.632007,18
12M-55-JO-S,45.539008,-73.632007,8
12M-365-01-S,45.525758,-73.631819,36
12M-435-JO-E,45.500896,-73.632368,13
12M-369-01-S,45.500896,-73.632368,11
12M-165-JO-S,45.500896,-73.632368,14
12M-102-01-E,45.473718,-73.632854,16
12M-356-SO-E,45.461561,-73.632889,95
12M-105-01-E,45.461561,-73.632889,8
12M-371-01-S,45.484945,-73.632709,50
12M-17-01-S,45.484945,-73.632709,27
12M-193-01-O,45.540835,-73.630325,45
12M-129-SO-S,45.494261,-73.631372,8
12M-129-JO-S,45.494261,-73.631372,12
12M-103-JO-O,45.470557,-73.631593,10
12M-103-AC-O,45.470557,-73.631593,10
12M-102-01-O,45.475108,-73.631801,16
12M-160-01-E,45.510079,-73.630151,16
12M-368-01-E,45.491343,-73.631055,35
12M-124-01-S,45.491343,-73.631055,25
12M-370-01-O,45.502962,-73.6305,68
12M-161-01-O,45.502962,-73.6305,26
12M-54-HE-E,45.551205,-73.629784,30
12M-54-01-E,45.551205,-73.629784,38
12M-193-01-E,45.542438,-73.629093,11
12M-162-01-E,45.466529,-73.63084,31
12M-193-01-O,45.543325,-73.628904,43
12M-356-SO-E,45.462633,-73.630848,96
12M-105-01-E,45.462633,-73.630848,9
12M-102-01-O,45.476737,-73.630368,15
12M-357-01-N,45.57171,-73.627213,35
